All,എല്ലാം
None,ഒന്നുമില്ല
"Allowed Scopes","അനുവദനീയമായ സ്കോപ്പുകൾ"
"You need more permissions to apply some of the rule updates.","ചില റൂളുകൾ അപ്ഡേറ്റ് ചെയ്യുന്നതിന് നിങ്ങൾക്ക് കൂടുതൽ‌ അനുമതികൾ‌ ആവശ്യമാണ്."
"You can create orders only in an active store.","നിങ്ങൾക്ക് ഒരു സജീവ സ്റ്റോറിൽ മാത്രമേ ഓർഡറുകൾ സൃഷ്ടിക്കാൻ കഴിയൂ."
"You need more permissions to access website ""%1"".","""%1"" വെബ്‌സൈറ്റ് ആക്‌സസ് ചെയ്യുന്നതിന് നിങ്ങൾക്ക് കൂടുതൽ അനുമതികൾ ആവശ്യമാണ്."
"Incorrect store ID: %1","തെറ്റായ സ്റ്റോർ ഐഡി: %1"
"You need more permissions to save this setting.","ഈ സെറ്റിങ്സ് സേവ് ചെയ്യാൻ നിങ്ങൾക്ക് കൂടുതൽ അനുമതികൾ ആവശ്യമാണ്."
"Role Scopes","റോൾ സ്കോപ്പുകൾ"
Custom,കസ്റ്റം
"More permissions are needed to delete the ""%1"" item.","""%1"" ഇല്ലാതാക്കാൻ കൂടുതൽ അനുമതികൾ ആവശ്യമാണ്."
"More permissions are needed to save this setting.","സെറ്റിങ്സ് സേവ് ചെയ്യാൻ കൂടുതൽ അനുമതികൾ ആവശ്യമാണ്."
"Read Details","വിശദാംശങ്ങൾ വായിക്കുക"
"Mark as Read","വായിച്ചതായി അടയാളപ്പെടുത്തുക"
"Are you sure?","നിങ്ങള്ക്ക് ഉറപ്പാണോ?"
Remove,"നീക്കം ചെയ്യുക"
"Messages Inbox","മെസ്സേജ് ഇൻ‌ബോക്സ്"
"You have %1 new system messages","നിങ്ങൾക്ക് %1 പുതിയ സിസ്റ്റം മെസ്സേജുണ്ട്"
"You have %1 new system message","നിങ്ങൾക്ക് %1 പുതിയ സിസ്റ്റം മെസ്സേജുണ്ട്"
"Incoming Message","ഇൻകമിംഗ് മെസ്സേജ്"
close,അടയ്ക്കുക
Notifications,അറിയിപ്പുകൾ
"The message has been marked as Read.","മെസ്സേജ് റീഡ് എന്ന് അടയാളപ്പെടുത്തി."
"1 Hour","1 മണിക്കൂർ"
"2 Hours","2 മണിക്കൂർ"
"6 Hours","6 മണിക്കൂർ"
"12 Hours","12 മണിക്കൂർ"
"24 Hours","24 മണിക്കൂർ"
"Sign Out","സൈന്‍ ഔട്ട്‌"
"Sign In","സൈന്‍ ഇന്‍"
"You are subscribed to our newsletter.","നിങ്ങൾ ഞങ്ങളുടെ വാർത്താക്കുറിപ്പ് സബ്‌സ്‌ക്രൈബുചെയ്‌തു."
"You aren't subscribed to our newsletter.","നിങ്ങൾ ഞങ്ങളുടെ വാർത്താക്കുറിപ്പ് സബ്‌സ്‌ക്രൈബുചെയ്‌തിട്ടില്ല."
"You have not set a default shipping address.","നിങ്ങൾ ഒരു സ്ഥിര ഷിപ്പിംഗ് വിലാസം സജ്ജമാക്കിയിട്ടില്ല."
"You have not set a default billing address.","നിങ്ങൾ ഒരു സ്ഥിര ബില്ലിംഗ് വിലാസം സജ്ജമാക്കിയിട്ടില്ല."
"Address Book","അഡ്രസ് ബുക്ക്"
"Edit Address","അഡ്രസ് തിരുത്തുക"
"Add New Address","പുതിയ അഡ്രസ് ചേർക്കുക"
"Start date","ആരംഭ തീയതി"
"End Date","അവസാന തീയതി"
